question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u773c_listen,char_u773c,LISTEN_CHOOSE_CHARACTER,眼,鼻,脸,脚,draft,DRAFT
q_char_u9f3b_listen,char_u9f3b,LISTEN_CHOOSE_CHARACTER,鼻,脸,脚,心,draft,DRAFT
q_char_u8138_listen,char_u8138,LISTEN_CHOOSE_CHARACTER,脸,脚,心,身,draft,DRAFT
q_char_u811a_listen,char_u811a,LISTEN_CHOOSE_CHARACTER,脚,心,身,力,draft,DRAFT
q_char_u5fc3_listen,char_u5fc3,LISTEN_CHOOSE_CHARACTER,心,身,力,气,draft,DRAFT
q_char_u8eab_listen,char_u8eab,LISTEN_CHOOSE_CHARACTER,身,力,气,毛,draft,DRAFT
q_char_u529b_listen,char_u529b,LISTEN_CHOOSE_CHARACTER,力,气,毛,皮,draft,DRAFT
q_char_u6c14_listen,char_u6c14,LISTEN_CHOOSE_CHARACTER,气,毛,皮,骨,draft,DRAFT
q_char_u6bdb_listen,char_u6bdb,LISTEN_CHOOSE_CHARACTER,毛,皮,骨,穿,draft,DRAFT
q_char_u76ae_listen,char_u76ae,LISTEN_CHOOSE_CHARACTER,皮,骨,穿,站,draft,DRAFT
q_char_u9aa8_listen,char_u9aa8,LISTEN_CHOOSE_CHARACTER,骨,穿,站,坐,draft,DRAFT
q_char_u7a7f_listen,char_u7a7f,LISTEN_CHOOSE_CHARACTER,穿,站,坐,哭,draft,DRAFT
