question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u6821_listen,char_u6821,LISTEN_CHOOSE_CHARACTER,校,师,生,字,draft,DRAFT
q_char_u5e08_listen,char_u5e08,LISTEN_CHOOSE_CHARACTER,师,生,字,文,draft,DRAFT
q_char_u751f_listen,char_u751f,LISTEN_CHOOSE_CHARACTER,生,字,文,画,draft,DRAFT
q_char_u5b57_listen,char_u5b57,LISTEN_CHOOSE_CHARACTER,字,文,画,读,draft,DRAFT
q_char_u6587_listen,char_u6587,LISTEN_CHOOSE_CHARACTER,文,画,读,写,draft,DRAFT
q_char_u753b_listen,char_u753b,LISTEN_CHOOSE_CHARACTER,画,读,写,认,draft,DRAFT
q_char_u8bfb_listen,char_u8bfb,LISTEN_CHOOSE_CHARACTER,读,写,认,知,draft,DRAFT
q_char_u5199_listen,char_u5199,LISTEN_CHOOSE_CHARACTER,写,认,知,想,draft,DRAFT
q_char_u8ba4_listen,char_u8ba4,LISTEN_CHOOSE_CHARACTER,认,知,想,要,draft,DRAFT
q_char_u77e5_listen,char_u77e5,LISTEN_CHOOSE_CHARACTER,知,想,要,给,draft,DRAFT
q_char_u60f3_listen,char_u60f3,LISTEN_CHOOSE_CHARACTER,想,要,给,和,draft,DRAFT
q_char_u8981_listen,char_u8981,LISTEN_CHOOSE_CHARACTER,要,给,和,在,draft,DRAFT
q_char_u7ed9_listen,char_u7ed9,LISTEN_CHOOSE_CHARACTER,给,和,在,这,draft,DRAFT
q_char_u548c_listen,char_u548c,LISTEN_CHOOSE_CHARACTER,和,在,这,那,draft,DRAFT
q_char_u5728_listen,char_u5728,LISTEN_CHOOSE_CHARACTER,在,这,那,哪,draft,DRAFT
q_char_u8fd9_listen,char_u8fd9,LISTEN_CHOOSE_CHARACTER,这,那,哪,谁,draft,DRAFT
q_char_u90a3_listen,char_u90a3,LISTEN_CHOOSE_CHARACTER,那,哪,谁,什,draft,DRAFT
q_char_u54ea_listen,char_u54ea,LISTEN_CHOOSE_CHARACTER,哪,谁,什,么,draft,DRAFT
q_char_u8c01_listen,char_u8c01,LISTEN_CHOOSE_CHARACTER,谁,什,么,一,draft,DRAFT
q_char_u4ec0_listen,char_u4ec0,LISTEN_CHOOSE_CHARACTER,什,么,一,二,draft,DRAFT
q_char_u4e48_listen,char_u4e48,LISTEN_CHOOSE_CHARACTER,么,一,二,三,draft,DRAFT
q_char_u4e00_listen,char_u4e00,LISTEN_CHOOSE_CHARACTER,一,二,三,四,draft,DRAFT
q_char_u4e8c_listen,char_u4e8c,LISTEN_CHOOSE_CHARACTER,二,三,四,五,draft,DRAFT
q_char_u4e09_listen,char_u4e09,LISTEN_CHOOSE_CHARACTER,三,四,五,六,draft,DRAFT
q_char_u56db_listen,char_u56db,LISTEN_CHOOSE_CHARACTER,四,五,六,七,draft,DRAFT
q_char_u4e94_listen,char_u4e94,LISTEN_CHOOSE_CHARACTER,五,六,七,八,draft,DRAFT
q_char_u516d_listen,char_u516d,LISTEN_CHOOSE_CHARACTER,六,七,八,九,draft,DRAFT
q_char_u4e03_listen,char_u4e03,LISTEN_CHOOSE_CHARACTER,七,八,九,十,draft,DRAFT
q_char_u516b_listen,char_u516b,LISTEN_CHOOSE_CHARACTER,八,九,十,百,draft,DRAFT
q_char_u4e5d_listen,char_u4e5d,LISTEN_CHOOSE_CHARACTER,九,十,百,千,draft,DRAFT
q_char_u5341_listen,char_u5341,LISTEN_CHOOSE_CHARACTER,十,百,千,个,draft,DRAFT
q_char_u767e_listen,char_u767e,LISTEN_CHOOSE_CHARACTER,百,千,个,只,draft,DRAFT
q_char_u5343_listen,char_u5343,LISTEN_CHOOSE_CHARACTER,千,个,只,本,draft,DRAFT
q_char_u4e2a_listen,char_u4e2a,LISTEN_CHOOSE_CHARACTER,个,只,本,张,draft,DRAFT
q_char_u53ea_listen,char_u53ea,LISTEN_CHOOSE_CHARACTER,只,本,张,件,draft,DRAFT
q_char_u672c_listen,char_u672c,LISTEN_CHOOSE_CHARACTER,本,张,件,条,draft,DRAFT
q_char_u5f20_listen,char_u5f20,LISTEN_CHOOSE_CHARACTER,张,件,条,些,draft,DRAFT
q_char_u4ef6_listen,char_u4ef6,LISTEN_CHOOSE_CHARACTER,件,条,些,每,draft,DRAFT
q_char_u6761_listen,char_u6761,LISTEN_CHOOSE_CHARACTER,条,些,每,都,draft,DRAFT
q_char_u4e9b_listen,char_u4e9b,LISTEN_CHOOSE_CHARACTER,些,每,都,也,draft,DRAFT
q_char_u6bcf_listen,char_u6bcf,LISTEN_CHOOSE_CHARACTER,每,都,也,还,draft,DRAFT
q_char_u90fd_listen,char_u90fd,LISTEN_CHOOSE_CHARACTER,都,也,还,又,draft,DRAFT
q_char_u4e5f_listen,char_u4e5f,LISTEN_CHOOSE_CHARACTER,也,还,又,再,draft,DRAFT
q_char_u8fd8_listen,char_u8fd8,LISTEN_CHOOSE_CHARACTER,还,又,再,很,draft,DRAFT
q_char_u53c8_listen,char_u53c8,LISTEN_CHOOSE_CHARACTER,又,再,很,最,draft,DRAFT
q_char_u518d_listen,char_u518d,LISTEN_CHOOSE_CHARACTER,再,很,最,真,draft,DRAFT
q_char_u5f88_listen,char_u5f88,LISTEN_CHOOSE_CHARACTER,很,最,真,太,draft,DRAFT
q_char_u6700_listen,char_u6700,LISTEN_CHOOSE_CHARACTER,最,真,太,今,draft,DRAFT
q_char_u771f_listen,char_u771f,LISTEN_CHOOSE_CHARACTER,真,太,今,明,draft,DRAFT
q_char_u592a_listen,char_u592a,LISTEN_CHOOSE_CHARACTER,太,今,明,年,draft,DRAFT
q_char_u4eca_listen,char_u4eca,LISTEN_CHOOSE_CHARACTER,今,明,年,时,draft,DRAFT
q_char_u660e_listen,char_u660e,LISTEN_CHOOSE_CHARACTER,明,年,时,分,draft,DRAFT
q_char_u5e74_listen,char_u5e74,LISTEN_CHOOSE_CHARACTER,年,时,分,秒,draft,DRAFT
q_char_u65f6_listen,char_u65f6,LISTEN_CHOOSE_CHARACTER,时,分,秒,周,draft,DRAFT
q_char_u5206_listen,char_u5206,LISTEN_CHOOSE_CHARACTER,分,秒,周,岁,draft,DRAFT
q_char_u79d2_listen,char_u79d2,LISTEN_CHOOSE_CHARACTER,秒,周,岁,点,draft,DRAFT
q_char_u5468_listen,char_u5468,LISTEN_CHOOSE_CHARACTER,周,岁,点,次,draft,DRAFT
q_char_u5c81_listen,char_u5c81,LISTEN_CHOOSE_CHARACTER,岁,点,次,边,draft,DRAFT
q_char_u70b9_listen,char_u70b9,LISTEN_CHOOSE_CHARACTER,点,次,边,方,draft,DRAFT
q_char_u6b21_listen,char_u6b21,LISTEN_CHOOSE_CHARACTER,次,边,方,向,draft,DRAFT
q_char_u8fb9_listen,char_u8fb9,LISTEN_CHOOSE_CHARACTER,边,方,向,内,draft,DRAFT
q_char_u65b9_listen,char_u65b9,LISTEN_CHOOSE_CHARACTER,方,向,内,女,draft,DRAFT
q_char_u5411_listen,char_u5411,LISTEN_CHOOSE_CHARACTER,向,内,女,颜,draft,DRAFT
q_char_u5185_listen,char_u5185,LISTEN_CHOOSE_CHARACTER,内,女,颜,色,draft,DRAFT
q_char_u5973_listen,char_u5973,LISTEN_CHOOSE_CHARACTER,女,颜,色,形,draft,DRAFT
q_char_u989c_listen,char_u989c,LISTEN_CHOOSE_CHARACTER,颜,色,形,状,draft,DRAFT
q_char_u8272_listen,char_u8272,LISTEN_CHOOSE_CHARACTER,色,形,状,圆,draft,DRAFT
q_char_u5f62_listen,char_u5f62,LISTEN_CHOOSE_CHARACTER,形,状,圆,轻,draft,DRAFT
q_char_u72b6_listen,char_u72b6,LISTEN_CHOOSE_CHARACTER,状,圆,轻,重,draft,DRAFT
q_char_u5706_listen,char_u5706,LISTEN_CHOOSE_CHARACTER,圆,轻,重,冷,draft,DRAFT
q_char_u8f7b_listen,char_u8f7b,LISTEN_CHOOSE_CHARACTER,轻,重,冷,热,draft,DRAFT
q_char_u91cd_listen,char_u91cd,LISTEN_CHOOSE_CHARACTER,重,冷,热,香,draft,DRAFT
q_char_u51b7_listen,char_u51b7,LISTEN_CHOOSE_CHARACTER,冷,热,香,甜,draft,DRAFT
q_char_u70ed_listen,char_u70ed,LISTEN_CHOOSE_CHARACTER,热,香,甜,苦,draft,DRAFT
q_char_u9999_listen,char_u9999,LISTEN_CHOOSE_CHARACTER,香,甜,苦,酸,draft,DRAFT
q_char_u751c_listen,char_u751c,LISTEN_CHOOSE_CHARACTER,甜,苦,酸,软,draft,DRAFT
q_char_u82e6_listen,char_u82e6,LISTEN_CHOOSE_CHARACTER,苦,酸,软,硬,draft,DRAFT
q_char_u9178_listen,char_u9178,LISTEN_CHOOSE_CHARACTER,酸,软,硬,干,draft,DRAFT
q_char_u8f6f_listen,char_u8f6f,LISTEN_CHOOSE_CHARACTER,软,硬,干,湿,draft,DRAFT
q_char_u786c_listen,char_u786c,LISTEN_CHOOSE_CHARACTER,硬,干,湿,声,draft,DRAFT
q_char_u5e72_listen,char_u5e72,LISTEN_CHOOSE_CHARACTER,干,湿,声,音,draft,DRAFT
q_char_u6e7f_listen,char_u6e7f,LISTEN_CHOOSE_CHARACTER,湿,声,音,歌,draft,DRAFT
q_char_u58f0_listen,char_u58f0,LISTEN_CHOOSE_CHARACTER,声,音,歌,舞,draft,DRAFT
q_char_u97f3_listen,char_u97f3,LISTEN_CHOOSE_CHARACTER,音,歌,舞,乐,draft,DRAFT
q_char_u6b4c_listen,char_u6b4c,LISTEN_CHOOSE_CHARACTER,歌,舞,乐,球,draft,DRAFT
q_char_u821e_listen,char_u821e,LISTEN_CHOOSE_CHARACTER,舞,乐,球,棒,draft,DRAFT
q_char_u4e50_listen,char_u4e50,LISTEN_CHOOSE_CHARACTER,乐,球,棒,绳,draft,DRAFT
q_char_u7403_listen,char_u7403,LISTEN_CHOOSE_CHARACTER,球,棒,绳,船,draft,DRAFT
q_char_u68d2_listen,char_u68d2,LISTEN_CHOOSE_CHARACTER,棒,绳,船,飞,draft,DRAFT
q_char_u7ef3_listen,char_u7ef3,LISTEN_CHOOSE_CHARACTER,绳,船,飞,机,draft,DRAFT
q_char_u8239_listen,char_u8239,LISTEN_CHOOSE_CHARACTER,船,飞,机,路,draft,DRAFT
q_char_u98de_listen,char_u98de,LISTEN_CHOOSE_CHARACTER,飞,机,路,桥,draft,DRAFT
q_char_u673a_listen,char_u673a,LISTEN_CHOOSE_CHARACTER,机,路,桥,窗,draft,DRAFT
q_char_u8def_listen,char_u8def,LISTEN_CHOOSE_CHARACTER,路,桥,窗,房,draft,DRAFT
q_char_u6865_listen,char_u6865,LISTEN_CHOOSE_CHARACTER,桥,窗,房,屋,draft,DRAFT
q_char_u7a97_listen,char_u7a97,LISTEN_CHOOSE_CHARACTER,窗,房,屋,椅,draft,DRAFT
q_char_u623f_listen,char_u623f,LISTEN_CHOOSE_CHARACTER,房,屋,椅,被,draft,DRAFT
q_char_u5c4b_listen,char_u5c4b,LISTEN_CHOOSE_CHARACTER,屋,椅,被,帽,draft,DRAFT
q_char_u6905_listen,char_u6905,LISTEN_CHOOSE_CHARACTER,椅,被,帽,鞋,draft,DRAFT
q_char_u88ab_listen,char_u88ab,LISTEN_CHOOSE_CHARACTER,被,帽,鞋,袜,draft,DRAFT
q_char_u5e3d_listen,char_u5e3d,LISTEN_CHOOSE_CHARACTER,帽,鞋,袜,包,draft,DRAFT
q_char_u978b_listen,char_u978b,LISTEN_CHOOSE_CHARACTER,鞋,袜,包,伞,draft,DRAFT
q_char_u889c_listen,char_u889c,LISTEN_CHOOSE_CHARACTER,袜,包,伞,钟,draft,DRAFT
q_char_u5305_listen,char_u5305,LISTEN_CHOOSE_CHARACTER,包,伞,钟,刀,draft,DRAFT
q_char_u4f1e_listen,char_u4f1e,LISTEN_CHOOSE_CHARACTER,伞,钟,刀,勺,draft,DRAFT
q_char_u949f_listen,char_u949f,LISTEN_CHOOSE_CHARACTER,钟,刀,勺,碗,draft,DRAFT
q_char_u5200_listen,char_u5200,LISTEN_CHOOSE_CHARACTER,刀,勺,碗,盘,draft,DRAFT
q_char_u52fa_listen,char_u52fa,LISTEN_CHOOSE_CHARACTER,勺,碗,盘,筷,draft,DRAFT
q_char_u7897_listen,char_u7897,LISTEN_CHOOSE_CHARACTER,碗,盘,筷,茶,draft,DRAFT
q_char_u76d8_listen,char_u76d8,LISTEN_CHOOSE_CHARACTER,盘,筷,茶,奶,draft,DRAFT
q_char_u7b77_listen,char_u7b77,LISTEN_CHOOSE_CHARACTER,筷,茶,奶,菜,draft,DRAFT
q_char_u8336_listen,char_u8336,LISTEN_CHOOSE_CHARACTER,茶,奶,菜,肉,draft,DRAFT
q_char_u5976_listen,char_u5976,LISTEN_CHOOSE_CHARACTER,奶,菜,肉,蛋,draft,DRAFT
q_char_u83dc_listen,char_u83dc,LISTEN_CHOOSE_CHARACTER,菜,肉,蛋,猪,draft,DRAFT
q_char_u8089_listen,char_u8089,LISTEN_CHOOSE_CHARACTER,肉,蛋,猪,鸡,draft,DRAFT
q_char_u86cb_listen,char_u86cb,LISTEN_CHOOSE_CHARACTER,蛋,猪,鸡,鸭,draft,DRAFT
q_char_u732a_listen,char_u732a,LISTEN_CHOOSE_CHARACTER,猪,鸡,鸭,鹅,draft,DRAFT
q_char_u9e21_listen,char_u9e21,LISTEN_CHOOSE_CHARACTER,鸡,鸭,鹅,熊,draft,DRAFT
q_char_u9e2d_listen,char_u9e2d,LISTEN_CHOOSE_CHARACTER,鸭,鹅,熊,虎,draft,DRAFT
q_char_u9e45_listen,char_u9e45,LISTEN_CHOOSE_CHARACTER,鹅,熊,虎,狮,draft,DRAFT
q_char_u718a_listen,char_u718a,LISTEN_CHOOSE_CHARACTER,熊,虎,狮,象,draft,DRAFT
q_char_u864e_listen,char_u864e,LISTEN_CHOOSE_CHARACTER,虎,狮,象,猴,draft,DRAFT
q_char_u72ee_listen,char_u72ee,LISTEN_CHOOSE_CHARACTER,狮,象,猴,鹿,draft,DRAFT
q_char_u8c61_listen,char_u8c61,LISTEN_CHOOSE_CHARACTER,象,猴,鹿,鼠,draft,DRAFT
q_char_u7334_listen,char_u7334,LISTEN_CHOOSE_CHARACTER,猴,鹿,鼠,牙,draft,DRAFT
q_char_u9e7f_listen,char_u9e7f,LISTEN_CHOOSE_CHARACTER,鹿,鼠,牙,耳,draft,DRAFT
q_char_u9f20_listen,char_u9f20,LISTEN_CHOOSE_CHARACTER,鼠,牙,耳,眼,draft,DRAFT
q_char_u7259_listen,char_u7259,LISTEN_CHOOSE_CHARACTER,牙,耳,眼,鼻,draft,DRAFT
q_char_u8033_listen,char_u8033,LISTEN_CHOOSE_CHARACTER,耳,眼,鼻,脸,draft,DRAFT
q_char_u773c_listen,char_u773c,LISTEN_CHOOSE_CHARACTER,眼,鼻,脸,脚,draft,DRAFT
q_char_u9f3b_listen,char_u9f3b,LISTEN_CHOOSE_CHARACTER,鼻,脸,脚,心,draft,DRAFT
q_char_u8138_listen,char_u8138,LISTEN_CHOOSE_CHARACTER,脸,脚,心,身,draft,DRAFT
q_char_u811a_listen,char_u811a,LISTEN_CHOOSE_CHARACTER,脚,心,身,力,draft,DRAFT
q_char_u5fc3_listen,char_u5fc3,LISTEN_CHOOSE_CHARACTER,心,身,力,气,draft,DRAFT
q_char_u8eab_listen,char_u8eab,LISTEN_CHOOSE_CHARACTER,身,力,气,毛,draft,DRAFT
q_char_u529b_listen,char_u529b,LISTEN_CHOOSE_CHARACTER,力,气,毛,皮,draft,DRAFT
q_char_u6c14_listen,char_u6c14,LISTEN_CHOOSE_CHARACTER,气,毛,皮,骨,draft,DRAFT
q_char_u6bdb_listen,char_u6bdb,LISTEN_CHOOSE_CHARACTER,毛,皮,骨,穿,draft,DRAFT
q_char_u76ae_listen,char_u76ae,LISTEN_CHOOSE_CHARACTER,皮,骨,穿,站,draft,DRAFT
q_char_u9aa8_listen,char_u9aa8,LISTEN_CHOOSE_CHARACTER,骨,穿,站,坐,draft,DRAFT
q_char_u7a7f_listen,char_u7a7f,LISTEN_CHOOSE_CHARACTER,穿,站,坐,哭,draft,DRAFT
q_char_u7ad9_listen,char_u7ad9,LISTEN_CHOOSE_CHARACTER,站,坐,哭,住,draft,DRAFT
q_char_u5750_listen,char_u5750,LISTEN_CHOOSE_CHARACTER,坐,哭,住,玩,draft,DRAFT
q_char_u54ed_listen,char_u54ed,LISTEN_CHOOSE_CHARACTER,哭,住,玩,做,draft,DRAFT
q_char_u4f4f_listen,char_u4f4f,LISTEN_CHOOSE_CHARACTER,住,玩,做,用,draft,DRAFT
q_char_u73a9_listen,char_u73a9,LISTEN_CHOOSE_CHARACTER,玩,做,用,找,draft,DRAFT
q_char_u505a_listen,char_u505a,LISTEN_CHOOSE_CHARACTER,做,用,找,拿,draft,DRAFT
q_char_u7528_listen,char_u7528,LISTEN_CHOOSE_CHARACTER,用,找,拿,放,draft,DRAFT
q_char_u627e_listen,char_u627e,LISTEN_CHOOSE_CHARACTER,找,拿,放,故,draft,DRAFT
q_char_u62ff_listen,char_u62ff,LISTEN_CHOOSE_CHARACTER,拿,放,故,事,draft,DRAFT
q_char_u653e_listen,char_u653e,LISTEN_CHOOSE_CHARACTER,放,故,事,朋,draft,DRAFT
q_char_u6545_listen,char_u6545,LISTEN_CHOOSE_CHARACTER,故,事,朋,哥,draft,DRAFT
q_char_u4e8b_listen,char_u4e8b,LISTEN_CHOOSE_CHARACTER,事,朋,哥,姐,draft,DRAFT
q_char_u670b_listen,char_u670b,LISTEN_CHOOSE_CHARACTER,朋,哥,姐,弟,draft,DRAFT
q_char_u54e5_listen,char_u54e5,LISTEN_CHOOSE_CHARACTER,哥,姐,弟,妹,draft,DRAFT
q_char_u59d0_listen,char_u59d0,LISTEN_CHOOSE_CHARACTER,姐,弟,妹,宝,draft,DRAFT
q_char_u5f1f_listen,char_u5f1f,LISTEN_CHOOSE_CHARACTER,弟,妹,宝,孩,draft,DRAFT
q_char_u59b9_listen,char_u59b9,LISTEN_CHOOSE_CHARACTER,妹,宝,孩,子,draft,DRAFT
q_char_u5b9d_listen,char_u5b9d,LISTEN_CHOOSE_CHARACTER,宝,孩,子,医,draft,DRAFT
q_char_u5b69_listen,char_u5b69,LISTEN_CHOOSE_CHARACTER,孩,子,医,护,draft,DRAFT
q_char_u5b50_listen,char_u5b50,LISTEN_CHOOSE_CHARACTER,子,医,护,士,draft,DRAFT
q_char_u533b_listen,char_u533b,LISTEN_CHOOSE_CHARACTER,医,护,士,警,draft,DRAFT
q_char_u62a4_listen,char_u62a4,LISTEN_CHOOSE_CHARACTER,护,士,警,察,draft,DRAFT
q_char_u58eb_listen,char_u58eb,LISTEN_CHOOSE_CHARACTER,士,警,察,农,draft,DRAFT
q_char_u8b66_listen,char_u8b66,LISTEN_CHOOSE_CHARACTER,警,察,农,民,draft,DRAFT
q_char_u5bdf_listen,char_u5bdf,LISTEN_CHOOSE_CHARACTER,察,农,民,工,draft,DRAFT
q_char_u519c_listen,char_u519c,LISTEN_CHOOSE_CHARACTER,农,民,工,谢,draft,DRAFT
q_char_u6c11_listen,char_u6c11,LISTEN_CHOOSE_CHARACTER,民,工,谢,请,draft,DRAFT
q_char_u5de5_listen,char_u5de5,LISTEN_CHOOSE_CHARACTER,工,谢,请,问,draft,DRAFT
q_char_u8c22_listen,char_u8c22,LISTEN_CHOOSE_CHARACTER,谢,请,问,对,draft,DRAFT
q_char_u8bf7_listen,char_u8bf7,LISTEN_CHOOSE_CHARACTER,请,问,对,起,draft,DRAFT
q_char_u95ee_listen,char_u95ee,LISTEN_CHOOSE_CHARACTER,问,对,起,欢,draft,DRAFT
q_char_u5bf9_listen,char_u5bf9,LISTEN_CHOOSE_CHARACTER,对,起,欢,迎,draft,DRAFT
q_char_u8d77_listen,char_u8d77,LISTEN_CHOOSE_CHARACTER,起,欢,迎,安,draft,DRAFT
q_char_u6b22_listen,char_u6b22,LISTEN_CHOOSE_CHARACTER,欢,迎,安,全,draft,DRAFT
q_char_u8fce_listen,char_u8fce,LISTEN_CHOOSE_CHARACTER,迎,安,全,帮,draft,DRAFT
q_char_u5b89_listen,char_u5b89,LISTEN_CHOOSE_CHARACTER,安,全,帮,助,draft,DRAFT
q_char_u5168_listen,char_u5168,LISTEN_CHOOSE_CHARACTER,全,帮,助,喜,draft,DRAFT
q_char_u5e2e_listen,char_u5e2e,LISTEN_CHOOSE_CHARACTER,帮,助,喜,游,draft,DRAFT
q_char_u52a9_listen,char_u52a9,LISTEN_CHOOSE_CHARACTER,助,喜,游,戏,draft,DRAFT
q_char_u559c_listen,char_u559c,LISTEN_CHOOSE_CHARACTER,喜,游,戏,礼,draft,DRAFT
q_char_u6e38_listen,char_u6e38,LISTEN_CHOOSE_CHARACTER,游,戏,礼,物,draft,DRAFT
q_char_u620f_listen,char_u620f,LISTEN_CHOOSE_CHARACTER,戏,礼,物,节,draft,DRAFT
q_char_u793c_listen,char_u793c,LISTEN_CHOOSE_CHARACTER,礼,物,节,阳,draft,DRAFT
