character_id,character,output_file,prompt
char_u98ce,风,images/characters/char_u98ce_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：风车与同方向飘动叶子；风车不成为唯一答案"
char_u7530,田,images/characters/char_u7530_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：有清楚田埂分区的田地；不用普通草坪代替"
char_u624b,手,images/characters/char_u624b_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：张开的手掌，完整显示五指；不只显示手臂"
char_u5934,头,images/characters/char_u5934_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：儿童头部或头部轮廓；不作眼耳牙干扰图"
char_u8033,耳,images/characters/char_u8033_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：单独清楚耳朵近景；不同时突出眼睛或嘴"
char_u773c,眼,images/characters/char_u773c_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：两只自然睁开的眼睛；不用眼镜代替"
char_u7259,牙,images/characters/char_u7259_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：清楚牙齿或牙齿与牙刷；整张嘴不是唯一主旨"
char_u725b,牛,images/characters/char_u725b_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：完整站立黄牛，侧前方；无羊马奶盒品牌或复杂农场"
char_u7f8a,羊,images/characters/char_u7f8a_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：完整羊，轮廓清楚；不与牛共用母版"
char_u9e1f,鸟,images/characters/char_u9e1f_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：单只完整小鸟；纯净背景避免树木成答案"
char_u9c7c,鱼,images/characters/char_u9c7c_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：单条完整鱼；弱化水背景避免水成答案"
char_u9a6c,马,images/characters/char_u9a6c_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：完整自然姿态马；无斑马驴或玩具木马"
