id,character_id,type,text,output_file
sentence_u6c34_v1,char_u6c34,sentence,我喝了一口水。,audio/sentences/sentence_u6c34_v1.mp3
char_u706b_v1,char_u706b,character,火,audio/characters/char_u706b_v1.mp3
meaning_u706b_v1,char_u706b,meaning,火会发光发热，也会烫伤人，要离它远一点。,audio/meanings/meaning_u706b_v1.mp3
word_u706b_1_v1,char_u706b,word,火苗,audio/words/word_u706b_1_v1.mp3
word_u706b_2_v1,char_u706b,word,火光,audio/words/word_u706b_2_v1.mp3
word_u706b_3_v1,char_u706b,word,火山,audio/words/word_u706b_3_v1.mp3
sentence_u706b_v1,char_u706b,sentence,火苗会发热，不要靠近。,audio/sentences/sentence_u706b_v1.mp3
char_u6728_v1,char_u6728,character,木,audio/characters/char_u6728_v1.mp3
meaning_u6728_v1,char_u6728,meaning,木就是树木，也常指做东西用的木头。,audio/meanings/meaning_u6728_v1.mp3
word_u6728_1_v1,char_u6728,word,木头,audio/words/word_u6728_1_v1.mp3
word_u6728_2_v1,char_u6728,word,木门,audio/words/word_u6728_2_v1.mp3
word_u6728_3_v1,char_u6728,word,木马,audio/words/word_u6728_3_v1.mp3
sentence_u6728_v1,char_u6728,sentence,这个小木马是木头做的。,audio/sentences/sentence_u6728_v1.mp3
char_u5929_v1,char_u5929,character,天,audio/characters/char_u5929_v1.mp3
meaning_u5929_v1,char_u5929,meaning,天是我们头顶上很高很大的天空。,audio/meanings/meaning_u5929_v1.mp3
word_u5929_1_v1,char_u5929,word,天上,audio/words/word_u5929_1_v1.mp3
word_u5929_2_v1,char_u5929,word,白天,audio/words/word_u5929_2_v1.mp3
word_u5929_3_v1,char_u5929,word,天空,audio/words/word_u5929_3_v1.mp3
sentence_u5929_v1,char_u5929,sentence,天上有一朵白云。,audio/sentences/sentence_u5929_v1.mp3
char_u4e91_v1,char_u4e91,character,云,audio/characters/char_u4e91_v1.mp3
meaning_u4e91_v1,char_u4e91,meaning,云是在天空中一团团白色或灰色的水汽。,audio/meanings/meaning_u4e91_v1.mp3
word_u4e91_1_v1,char_u4e91,word,白云,audio/words/word_u4e91_1_v1.mp3
word_u4e91_2_v1,char_u4e91,word,云朵,audio/words/word_u4e91_2_v1.mp3
word_u4e91_3_v1,char_u4e91,word,乌云,audio/words/word_u4e91_3_v1.mp3
sentence_u4e91_v1,char_u4e91,sentence,白云在天上慢慢飘。,audio/sentences/sentence_u4e91_v1.mp3
char_u96e8_v1,char_u96e8,character,雨,audio/characters/char_u96e8_v1.mp3
meaning_u96e8_v1,char_u96e8,meaning,雨是云里的小水滴落到地面。,audio/meanings/meaning_u96e8_v1.mp3
word_u96e8_1_v1,char_u96e8,word,下雨,audio/words/word_u96e8_1_v1.mp3
word_u96e8_2_v1,char_u96e8,word,雨水,audio/words/word_u96e8_2_v1.mp3
word_u96e8_3_v1,char_u96e8,word,大雨,audio/words/word_u96e8_3_v1.mp3
sentence_u96e8_v1,char_u96e8,sentence,外面下雨了，记得带伞。,audio/sentences/sentence_u96e8_v1.mp3
char_u98ce_v1,char_u98ce,character,风,audio/characters/char_u98ce_v1.mp3
meaning_u98ce_v1,char_u98ce,meaning,风是流动的空气，看不见，却能吹动树叶和风车。,audio/meanings/meaning_u98ce_v1.mp3
word_u98ce_1_v1,char_u98ce,word,大风,audio/words/word_u98ce_1_v1.mp3
word_u98ce_2_v1,char_u98ce,word,风车,audio/words/word_u98ce_2_v1.mp3
word_u98ce_3_v1,char_u98ce,word,风声,audio/words/word_u98ce_3_v1.mp3
sentence_u98ce_v1,char_u98ce,sentence,风吹动了小风车。,audio/sentences/sentence_u98ce_v1.mp3
char_u7530_v1,char_u7530,character,田,audio/characters/char_u7530_v1.mp3
meaning_u7530_v1,char_u7530,meaning,田是一块块用来种庄稼的土地。,audio/meanings/meaning_u7530_v1.mp3
word_u7530_1_v1,char_u7530,word,田地,audio/words/word_u7530_1_v1.mp3
word_u7530_2_v1,char_u7530,word,水田,audio/words/word_u7530_2_v1.mp3
word_u7530_3_v1,char_u7530,word,田野,audio/words/word_u7530_3_v1.mp3
sentence_u7530_v1,char_u7530,sentence,田里长着绿绿的小苗。,audio/sentences/sentence_u7530_v1.mp3
char_u624b_v1,char_u624b,character,手,audio/characters/char_u624b_v1.mp3
meaning_u624b_v1,char_u624b,meaning,手在手臂的前面，可以拿东西、拍手和写字。,audio/meanings/meaning_u624b_v1.mp3
word_u624b_1_v1,char_u624b,word,小手,audio/words/word_u624b_1_v1.mp3
word_u624b_2_v1,char_u624b,word,手心,audio/words/word_u624b_2_v1.mp3
word_u624b_3_v1,char_u624b,word,洗手,audio/words/word_u624b_3_v1.mp3
sentence_u624b_v1,char_u624b,sentence,吃饭前要认真洗手。,audio/sentences/sentence_u624b_v1.mp3
char_u5934_v1,char_u5934,character,头,audio/characters/char_u5934_v1.mp3
meaning_u5934_v1,char_u5934,meaning,头在身体最上面，眼睛、耳朵和嘴都长在头上。,audio/meanings/meaning_u5934_v1.mp3
word_u5934_1_v1,char_u5934,word,头发,audio/words/word_u5934_1_v1.mp3
word_u5934_2_v1,char_u5934,word,点头,audio/words/word_u5934_2_v1.mp3
word_u5934_3_v1,char_u5934,word,抬头,audio/words/word_u5934_3_v1.mp3
sentence_u5934_v1,char_u5934,sentence,我抬头看天上的月亮。,audio/sentences/sentence_u5934_v1.mp3
char_u8033_v1,char_u8033,character,耳,audio/characters/char_u8033_v1.mp3
meaning_u8033_v1,char_u8033,meaning,耳就是耳朵，在头的两边，帮助我们听声音。,audio/meanings/meaning_u8033_v1.mp3
word_u8033_1_v1,char_u8033,word,耳朵,audio/words/word_u8033_1_v1.mp3
word_u8033_2_v1,char_u8033,word,左耳,audio/words/word_u8033_2_v1.mp3
word_u8033_3_v1,char_u8033,word,右耳,audio/words/word_u8033_3_v1.mp3
sentence_u8033_v1,char_u8033,sentence,我们用耳朵听声音。,audio/sentences/sentence_u8033_v1.mp3
char_u773c_v1,char_u773c,character,眼,audio/characters/char_u773c_v1.mp3
meaning_u773c_v1,char_u773c,meaning,眼就是眼睛，帮助我们看见东西。,audio/meanings/meaning_u773c_v1.mp3
word_u773c_1_v1,char_u773c,word,眼睛,audio/words/word_u773c_1_v1.mp3
word_u773c_2_v1,char_u773c,word,眼泪,audio/words/word_u773c_2_v1.mp3
word_u773c_3_v1,char_u773c,word,眨眼,audio/words/word_u773c_3_v1.mp3
sentence_u773c_v1,char_u773c,sentence,我的眼睛看见一只小鸟。,audio/sentences/sentence_u773c_v1.mp3
char_u7259_v1,char_u7259,character,牙,audio/characters/char_u7259_v1.mp3
meaning_u7259_v1,char_u7259,meaning,牙在嘴里，帮助我们咬和嚼食物。,audio/meanings/meaning_u7259_v1.mp3
word_u7259_1_v1,char_u7259,word,牙齿,audio/words/word_u7259_1_v1.mp3
word_u7259_2_v1,char_u7259,word,刷牙,audio/words/word_u7259_2_v1.mp3
word_u7259_3_v1,char_u7259,word,门牙,audio/words/word_u7259_3_v1.mp3
sentence_u7259_v1,char_u7259,sentence,早晚都要认真刷牙。,audio/sentences/sentence_u7259_v1.mp3
char_u725b_v1,char_u725b,character,牛,audio/characters/char_u725b_v1.mp3
meaning_u725b_v1,char_u725b,meaning,牛是一种吃草的大动物，有些牛会产牛奶。,audio/meanings/meaning_u725b_v1.mp3
word_u725b_1_v1,char_u725b,word,小牛,audio/words/word_u725b_1_v1.mp3
word_u725b_2_v1,char_u725b,word,牛奶,audio/words/word_u725b_2_v1.mp3
word_u725b_3_v1,char_u725b,word,水牛,audio/words/word_u725b_3_v1.mp3
sentence_u725b_v1,char_u725b,sentence,小牛在田边吃草。,audio/sentences/sentence_u725b_v1.mp3
char_u7f8a_v1,char_u7f8a,character,羊,audio/characters/char_u7f8a_v1.mp3
meaning_u7f8a_v1,char_u7f8a,meaning,羊是一种吃草的动物，身上常有软软的毛。,audio/meanings/meaning_u7f8a_v1.mp3
word_u7f8a_1_v1,char_u7f8a,word,小羊,audio/words/word_u7f8a_1_v1.mp3
word_u7f8a_2_v1,char_u7f8a,word,山羊,audio/words/word_u7f8a_2_v1.mp3
word_u7f8a_3_v1,char_u7f8a,word,羊毛,audio/words/word_u7f8a_3_v1.mp3
sentence_u7f8a_v1,char_u7f8a,sentence,山上有一只小羊。,audio/sentences/sentence_u7f8a_v1.mp3
char_u9e1f_v1,char_u9e1f,character,鸟,audio/characters/char_u9e1f_v1.mp3
meaning_u9e1f_v1,char_u9e1f,meaning,鸟有羽毛、翅膀和嘴，很多鸟会飞。,audio/meanings/meaning_u9e1f_v1.mp3
word_u9e1f_1_v1,char_u9e1f,word,小鸟,audio/words/word_u9e1f_1_v1.mp3
word_u9e1f_2_v1,char_u9e1f,word,鸟叫,audio/words/word_u9e1f_2_v1.mp3
word_u9e1f_3_v1,char_u9e1f,word,鸟窝,audio/words/word_u9e1f_3_v1.mp3
sentence_u9e1f_v1,char_u9e1f,sentence,小鸟在树上唱歌。,audio/sentences/sentence_u9e1f_v1.mp3
char_u9c7c_v1,char_u9c7c,character,鱼,audio/characters/char_u9c7c_v1.mp3
meaning_u9c7c_v1,char_u9c7c,meaning,鱼生活在水里，用鳍游来游去。,audio/meanings/meaning_u9c7c_v1.mp3
word_u9c7c_1_v1,char_u9c7c,word,小鱼,audio/words/word_u9c7c_1_v1.mp3
word_u9c7c_2_v1,char_u9c7c,word,金鱼,audio/words/word_u9c7c_2_v1.mp3
word_u9c7c_3_v1,char_u9c7c,word,鱼缸,audio/words/word_u9c7c_3_v1.mp3
sentence_u9c7c_v1,char_u9c7c,sentence,小鱼在水里游来游去。,audio/sentences/sentence_u9c7c_v1.mp3
char_u9a6c_v1,char_u9a6c,character,马,audio/characters/char_u9a6c_v1.mp3
meaning_u9a6c_v1,char_u9a6c,meaning,马是一种会跑得很快的大动物，也能驮东西。,audio/meanings/meaning_u9a6c_v1.mp3
word_u9a6c_1_v1,char_u9a6c,word,小马,audio/words/word_u9a6c_1_v1.mp3
word_u9a6c_2_v1,char_u9a6c,word,木马,audio/words/word_u9a6c_2_v1.mp3
word_u9a6c_3_v1,char_u9a6c,word,马车,audio/words/word_u9a6c_3_v1.mp3
sentence_u9a6c_v1,char_u9a6c,sentence,小马跑得真快。,audio/sentences/sentence_u9a6c_v1.mp3
