id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u6c34,水,shuǐ,3,水可以喝，也可以洗手和洗东西。,喝水,水杯,宝宝每天都要喝水。,孩子用小杯子喝水，无文字,character meaning words sentence,DRAFT
char_u706b,火,huǒ,3,火会发光发热，要和大人一起安全使用。,火车,火苗,小火苗在炉子里。,安全的小火苗和炉灶，不出现危险接触，无文字,character meaning words sentence,DRAFT
char_u6728,木,mù,4,木头来自树，可以做成很多东西。,木头,木门,这是一扇木门。,树木和木门的简单关系图，无文字,character meaning words sentence,DRAFT
char_u65e5,日,rì,4,太阳出来的白天可以叫日。,日出,日子,今天是快乐的一日。,太阳从地平线升起的白天，无文字,character meaning words sentence,DRAFT
char_u6708,月,yuè,4,月亮在晚上天空中发光。,月亮,月光,月亮照着小路。,月亮和柔和月光下的小路，无文字,character meaning words sentence,DRAFT
char_u5929,天,tiān,1,头顶上很高很大的地方就是天空。,今天,天空,今天的天空很蓝。,蓝天白云和孩子抬头看，无文字,character meaning words sentence,DRAFT
char_u4e91,云,yún,2,云是一团团飘在天空中的白色或灰色东西。,白云,云朵,白云在天空中飘。,蓝天中几朵柔软白云，无文字,character meaning words sentence,DRAFT
char_u96e8,雨,yǔ,3,雨是从云里落下来的小水滴。,下雨,雨伞,下雨了我要撑伞。,孩子撑彩色雨伞走在小雨中，无文字,character meaning words sentence,DRAFT
char_u98ce,风,fēng,1,风看不见，但能吹动树叶和头发。,大风,风车,风吹动了风车。,树叶和风车被风吹动，无文字,character meaning words sentence,DRAFT
char_u725b,牛,niú,2,牛是生活在农场里的大动物。,奶牛,小牛,奶牛在草地上吃草。,奶牛和小牛在绿色草地，无文字,character meaning words sentence,DRAFT
char_u7f8a,羊,yáng,2,羊有软软的毛，喜欢在草地上吃草。,小羊,山羊,小羊在草地上跑。,可爱小羊在草地上，无文字,character meaning words sentence,DRAFT
char_u9e1f,鸟,niǎo,3,鸟有翅膀，可以在天空中飞。,小鸟,鸟儿,小鸟站在树枝上。,小鸟站在树枝上准备飞，无文字,character meaning words sentence,DRAFT
char_u9c7c,鱼,yú,2,鱼生活在水里，用鱼鳍游泳。,小鱼,金鱼,小鱼在水里游。,几条彩色小鱼在清水中，无文字,character meaning words sentence,DRAFT
char_u9a6c,马,mǎ,3,马是有四条腿的大动物，可以奔跑。,小马,马车,小马在草地上跑。,小马在草地上奔跑，无文字,character meaning words sentence,DRAFT
char_u732b,猫,māo,1,猫有软软的毛，喜欢轻轻地走路。,小猫,花猫,小猫在晒太阳。,小猫在窗边晒太阳，无文字,character meaning words sentence,DRAFT
char_u72d7,狗,gǒu,3,狗是会摇尾巴的动物，是人的好朋友。,小狗,黑狗,小狗摇着尾巴。,小狗开心地摇尾巴，无文字,character meaning words sentence,DRAFT
char_u5154,兔,tù,4,兔子有长耳朵，喜欢跳来跳去。,小兔,白兔,小兔在吃胡萝卜。,白兔抱着胡萝卜，无文字,character meaning words sentence,DRAFT
char_u866b,虫,chóng,2,虫是很小的动物，有的会爬有的会飞。,小虫,虫子,小虫在叶子上爬。,叶子上的小瓢虫，主体清楚，无文字,character meaning words sentence,DRAFT
char_u82b1,花,huā,1,花有漂亮的颜色和香味。,红花,花朵,春天的花开了。,一朵明亮的花和两片叶子，无文字,character meaning words sentence,DRAFT
char_u8863,衣,yī,1,衣服穿在身上，可以保暖和保护身体。,衣服,上衣,我穿好衣服出门。,孩子穿着整洁彩色衣服，无文字,character meaning words sentence,DRAFT
char_u98df,食,shí,2,食物可以吃，让身体有力气。,食物,食品,好吃的食物让我开心。,孩子面前有健康食物，无文字,character meaning words sentence,DRAFT
char_u7c73,米,mǐ,3,米是做米饭的粮食，一粒粒白白的。,大米,米饭,妈妈煮了香香的米饭。,碗里的白米和米饭，无文字,character meaning words sentence,DRAFT
char_u996d,饭,fàn,4,饭是我们每天吃的食物。,吃饭,米饭,我坐好吃饭。,孩子坐在餐桌前吃饭，无文字,character meaning words sentence,DRAFT
char_u676f,杯,bēi,1,杯子可以装水和饮料。,水杯,杯子,我的水杯是蓝色的。,一个儿童蓝色水杯，无文字,character meaning words sentence,DRAFT
char_u4e66,书,shū,1,书里有故事和很多知识。,看书,书本,我和妈妈一起看书。,孩子和妈妈翻看绘本，无文字,character meaning words sentence,DRAFT
char_u8f66,车,chē,1,车可以载人或东西，在路上行驶。,汽车,车子,爸爸开车送我。,一辆圆润可爱的儿童汽车，无文字,character meaning words sentence,DRAFT
char_u706f,灯,dēng,1,灯可以发光，帮助我们看清楚。,开灯,灯光,晚上我打开小灯。,房间里的温暖小台灯，无文字,character meaning words sentence,DRAFT
char_u5e8a,床,chuáng,2,床是睡觉和休息的地方。,小床,床上,我在床上睡觉。,温暖整洁的儿童床，无文字,character meaning words sentence,DRAFT
char_u684c,桌,zhuō,1,桌子有平平的桌面，可以放东西。,桌子,书桌,书放在桌上。,儿童书桌上放着书和杯子，无文字,character meaning words sentence,DRAFT
char_u770b,看,kàn,4,看是用眼睛发现和认识东西。,看见,看书,我看见一朵花。,孩子睁大眼睛看花，无文字,character meaning words sentence,DRAFT
char_u542c,听,tīng,1,听是用耳朵听到声音。,听见,听话,我听见小鸟叫。,孩子侧耳听小鸟声音，无文字,character meaning words sentence,DRAFT
char_u8d70,走,zǒu,3,走是一步一步向前移动。,走路,走开,我和爸爸一起走路。,孩子牵着爸爸的手走路，无文字,character meaning words sentence,DRAFT
char_u8dd1,跑,pǎo,3,跑是比走得更快地向前移动。,跑步,快跑,小朋友在操场上跑步。,孩子在安全操场上跑步，无文字,character meaning words sentence,DRAFT
char_u6765,来,lái,2,来表示从别的地方到这里。,回来,来吧,小狗跑过来说你好。,小狗从远处跑向孩子，无文字,character meaning words sentence,DRAFT
char_u53bb,去,qù,4,去表示从这里到别的地方。,出去,回去,我们一起去公园。,孩子和家人走向公园，无文字,character meaning words sentence,DRAFT
char_u4e0a,上,shàng,4,上表示在高处或向高处移动。,上面,上山,小鸟在树上。,小鸟站在树的上面，无文字,character meaning words sentence,DRAFT
char_u4e0b,下,xià,4,下表示在低处或向低处移动。,下面,下雨,雨滴从天上落下。,雨滴从云朵落向地面，无文字,character meaning words sentence,DRAFT
char_u5f00,开,kāi,1,开表示把关着的东西打开。,开门,开灯,我开门回家。,孩子轻轻打开家门，无文字,character meaning words sentence,DRAFT
char_u5173,关,guān,1,关表示把打开的东西合上。,关门,关灯,睡觉前要关灯。,孩子睡前关掉小台灯，无文字,character meaning words sentence,DRAFT
